time,meterusage
2019-01-15 05:30:00,95.49
2019-01-15 05:45:00,147.89
2019-01-15 06:00:00,162.35
2019-01-15 06:15:00,149.55
2019-01-15 06:30:00,159.08
2019-01-15 06:45:00,187.77
2019-01-15 07:00:00,205.31
2019-01-15 07:15:00,219.19
2019-01-15 07:30:00,233.12
2019-01-15 07:45:00,239.54
2019-01-15 08:00:00,246.52
2019-01-15 08:15:00,265.06
2019-01-15 08:30:00,279.51
2019-01-15 08:45:00,288.0
2019-01-15 09:00:00,297.83
2019-01-15 09:15:00,294.19
2019-01-15 09:30:00,289.18
2019-01-15 09:45:00,288.63
2019-01-15 10:00:00,290.67
2019-01-15 10:15:00,284.48
2019-01-15 10:30:00,282.41
2019-01-15 10:45:00,286.96
2019-01-15 11:00:00,283.89
2019-01-15 11:15:00,286.48
2019-01-15 11:30:00,279.65
2019-01-15 11:45:00,277.07
2019-01-15 12:00:00,281.54
2019-01-15 12:15:00,276.39
2019-01-15 12:30:00,273.45
2019-01-15 12:45:00,273.89
2019-01-15 13:00:00,275.28
2019-01-15 13:15:00,274.85
2019-01-15 13:30:00,278.44
2019-01-15 13:45:00,277.78
2019-01-15 14:00:00,275.04
2019-01-15 14:15:00,271.71
2019-01-15 14:30:00,273.13
2019-01-15 14:45:00,272.54
2019-01-15 15:00:00,270.46
2019-01-15 15:15:00,266.62
2019-01-15 15:30:00,265.52
2019-01-15 15:45:00,264.26
2019-01-15 16:00:00,262.23
2019-01-15 16:15:00,265.27
2019-01-15 16:30:00,264.89
2019-01-15 16:45:00,260.06
2019-01-15 17:00:00,254.59
2019-01-15 17:15:00,248.06
2019-01-15 17:30:00,235.34
2019-01-15 17:45:00,206.4
2019-01-15 18:00:00,177.32
2019-01-15 18:15:00,165.16
2019-01-15 18:30:00,160.3
2019-01-15 18:45:00,155.58
2019-01-15 19:00:00,157.81
2019-01-15 19:15:00,197.99
2019-01-15 19:30:00,179.1
2019-01-15 19:45:00,153.69
2019-01-15 20:00:00,147.25
2019-01-15 20:15:00,143.86
2019-01-15 20:30:00,142.62
2019-01-15 20:45:00,139.37
2019-01-15 21:00:00,146.6
2019-01-15 21:15:00,177.91
2019-01-15 21:30:00,151.44
2019-01-15 21:45:00,129.4
2019-01-15 22:00:00,114.2
2019-01-15 22:15:00,84.11
2019-01-15 22:30:00,65.03
2019-01-15 22:45:00,61.82
2019-01-15 23:00:00,61.91
2019-01-15 23:15:00,61.8
2019-01-15 23:30:00,54.96
2019-01-15 23:45:00,49.22
2019-01-16 00:00:00,47.83
2019-01-16 00:15:00,47.83
2019-01-16 00:30:00,47.53
2019-01-16 00:45:00,47.28
2019-01-16 01:00:00,47.54
2019-01-16 01:15:00,47.77
2019-01-16 01:30:00,47.73
2019-01-16 01:45:00,47.43
2019-01-16 02:00:00,48.01
2019-01-16 02:15:00,47.83
2019-01-16 02:30:00,48.24
2019-01-16 02:45:00,48.22
2019-01-16 03:00:00,47.83
2019-01-16 03:15:00,47.79
2019-01-16 03:30:00,52.27
2019-01-16 03:45:00,55.94
2019-01-16 04:00:00,56.53
2019-01-16 04:15:00,59.3
2019-01-16 04:30:00,60.15
2019-01-16 04:45:00,59.84
2019-01-16 05:00:00,60.78
2019-01-16 05:15:00,65.23
2019-01-16 05:30:00,84.81
2019-01-16 05:45:00,108.48
2019-01-16 06:00:00,113.18
2019-01-16 06:15:00,130.2
2019-01-16 06:30:00,160.25
2019-01-16 06:45:00,178.21
2019-01-16 07:00:00,182.68
2019-01-16 07:15:00,197.29
2019-01-16 07:30:00,211.97
2019-01-16 07:45:00,221.06
2019-01-16 08:00:00,237.28
2019-01-16 08:15:00,247.51
2019-01-16 08:30:00,257.38
2019-01-16 08:45:00,263.73
2019-01-16 09:00:00,267.21
2019-01-16 09:15:00,265.87
2019-01-16 09:30:00,265.33
2019-01-16 09:45:00,266.77
2019-01-16 10:00:00,272.99
2019-01-16 10:15:00,281.03
2019-01-16 10:30:00,279.67
2019-01-16 10:45:00,278.6
2019-01-16 11:00:00,279.47
2019-01-16 11:15:00,275.09
2019-01-16 11:30:00,267.29
2019-01-16 11:45:00,261.99
2019-01-16 12:00:00,270.26
2019-01-16 12:15:00,272.01
2019-01-16 12:30:00,269.64
2019-01-16 12:45:00,269.76
2019-01-16 13:00:00,269.83
2019-01-16 13:15:00,270.84
2019-01-16 13:30:00,267.72
2019-01-16 13:45:00,269.99
2019-01-16 14:00:00,268.55
2019-01-16 14:15:00,267.67
2019-01-16 14:30:00,267.41
2019-01-16 14:45:00,265.42
2019-01-16 15:00:00,259.75
2019-01-16 15:15:00,257.4
2019-01-16 15:30:00,257.85
2019-01-16 15:45:00,262.24
2019-01-16 16:00:00,264.86
2019-01-16 16:15:00,265.52
2019-01-16 16:30:00,256.76
2019-01-16 16:45:00,256.2
2019-01-16 17:00:00,254.88
2019-01-16 17:15:00,251.84
2019-01-16 17:30:00,233.25
2019-01-16 17:45:00,200.3
2019-01-16 18:00:00,169.2
2019-01-16 18:15:00,152.7
2019-01-16 18:30:00,147.94
2019-01-16 18:45:00,149.29
2019-01-16 19:00:00,154.24
2019-01-16 19:15:00,189.65
2019-01-16 19:30:00,169.24
2019-01-16 19:45:00,141.26
2019-01-16 20:00:00,135.34
2019-01-16 20:15:00,133.66
2019-01-16 20:30:00,132.04
2019-01-16 20:45:00,130.27
2019-01-16 21:00:00,140.18
2019-01-16 21:15:00,169.49
2019-01-16 21:30:00,144.67
2019-01-16 21:45:00,124.51
2019-01-16 22:00:00,99.75
2019-01-16 22:15:00,68.94
2019-01-16 22:30:00,58.33
2019-01-16 22:45:00,57.66
2019-01-16 23:00:00,57.83
2019-01-16 23:15:00,56.9
2019-01-16 23:30:00,53.45
2019-01-16 23:45:00,52.48
2019-01-17 00:00:00,51.89
2019-01-17 00:15:00,51.55
2019-01-17 00:30:00,51.4
2019-01-17 00:45:00,51.56
2019-01-17 01:00:00,52.21
2019-01-17 01:15:00,51.71
2019-01-17 01:30:00,51.53
2019-01-17 01:45:00,51.45
2019-01-17 02:00:00,51.95
2019-01-17 02:15:00,52.71
2019-01-17 02:30:00,53.95
2019-01-17 02:45:00,NaN
2019-01-17 03:00:00,55.03
2019-01-17 03:15:00,57.02
2019-01-17 03:30:00,63.26
2019-01-17 03:45:00,65.94
2019-01-17 04:00:00,64.57
2019-01-17 04:15:00,63.54
2019-01-17 04:30:00,63.11
2019-01-17 04:45:00,63.3
2019-01-17 05:00:00,66.8
2019-01-17 05:15:00,69.58
2019-01-17 05:30:00,86.64
2019-01-17 05:45:00,136.96
2019-01-17 06:00:00,159.44
2019-01-17 06:15:00,154.16
2019-01-17 06:30:00,165.78
2019-01-17 06:45:00,185.9
2019-01-17 07:00:00,200.97
2019-01-17 07:15:00,207.28
2019-01-17 07:30:00,230.33
2019-01-17 07:45:00,248.25
2019-01-17 08:00:00,252.78
2019-01-17 08:15:00,260.82
2019-01-17 08:30:00,266.0
2019-01-17 08:45:00,273.47
2019-01-17 09:00:00,282.97
2019-01-17 09:15:00,291.7
2019-01-17 09:30:00,290.98
2019-01-17 09:45:00,285.72
2019-01-17 10:00:00,292.32
2019-01-17 10:15:00,293.18
2019-01-17 10:30:00,288.14
2019-01-17 10:45:00,288.54
2019-01-17 11:00:00,289.78
2019-01-17 11:15:00,292.53
2019-01-17 11:30:00,292.73
2019-01-17 11:45:00,288.15
2019-01-17 12:00:00,292.68
2019-01-17 12:15:00,293.36
2019-01-17 12:30:00,289.98
2019-01-17 12:45:00,285.88
2019-01-17 13:00:00,286.59
2019-01-17 13:15:00,283.19
2019-01-17 13:30:00,279.27
2019-01-17 13:45:00,277.59
2019-01-17 14:00:00,277.5
2019-01-17 14:15:00,277.68
2019-01-17 14:30:00,275.27
2019-01-17 14:45:00,270.4
2019-01-17 15:00:00,272.02
2019-01-17 15:15:00,274.64
2019-01-17 15:30:00,278.38
2019-01-17 15:45:00,276.05
2019-01-17 16:00:00,277.2
2019-01-17 16:15:00,276.6
2019-01-17 16:30:00,270.38
2019-01-17 16:45:00,265.95
2019-01-17 17:00:00,265.62
2019-01-17 17:15:00,264.69
2019-01-17 17:30:00,251.79
2019-01-17 17:45:00,227.1
2019-01-17 18:00:00,195.35
2019-01-17 18:15:00,177.11
2019-01-17 18:30:00,164.38
2019-01-17 18:45:00,152.05
2019-01-17 19:00:00,149.23
2019-01-17 19:15:00,187.83
2019-01-17 19:30:00,175.15
2019-01-17 19:45:00,144.8
2019-01-17 20:00:00,136.06
2019-01-17 20:15:00,131.49
2019-01-17 20:30:00,127.87
2019-01-17 20:45:00,125.92
2019-01-17 21:00:00,128.31
2019-01-17 21:15:00,165.9
2019-01-17 21:30:00,146.98
2019-01-17 21:45:00,123.4
2019-01-17 22:00:00,97.51
2019-01-17 22:15:00,67.42
2019-01-17 22:30:00,57.15
2019-01-17 22:45:00,55.41
2019-01-17 23:00:00,53.88
2019-01-17 23:15:00,51.7
2019-01-17 23:30:00,50.87
2019-01-17 23:45:00,50.4
2019-01-18 00:00:00,50.36
2019-01-18 00:15:00,50.45
2019-01-18 00:30:00,49.99
2019-01-18 00:45:00,50.43
2019-01-18 01:00:00,50.4
2019-01-18 01:15:00,50.12
2019-01-18 01:30:00,49.62
2019-01-18 01:45:00,50.03
2019-01-18 02:00:00,50.49
2019-01-18 02:15:00,50.81
2019-01-18 02:30:00,50.93
2019-01-18 02:45:00,50.49
2019-01-18 03:00:00,51.15
2019-01-18 03:15:00,54.3
2019-01-18 03:30:00,59.24
2019-01-18 03:45:00,62.08
2019-01-18 04:00:00,66.35
2019-01-18 04:15:00,67.27
2019-01-18 04:30:00,66.44
2019-01-18 04:45:00,69.52
2019-01-18 05:00:00,76.84
2019-01-18 05:15:00,81.79
2019-01-18 05:30:00,99.35
2019-01-18 05:45:00,168.38
2019-01-18 06:00:00,169.54
2019-01-18 06:15:00,147.56
2019-01-18 06:30:00,158.41
2019-01-18 06:45:00,189.02
2019-01-18 07:00:00,205.22
2019-01-18 07:15:00,214.43
2019-01-18 07:30:00,220.53
2019-01-18 07:45:00,232.88
2019-01-18 08:00:00,235.11
2019-01-18 08:15:00,246.49
2019-01-18 08:30:00,261.0
2019-01-18 08:45:00,275.28
2019-01-18 09:00:00,285.41
2019-01-18 09:15:00,288.59
2019-01-18 09:30:00,288.03
2019-01-18 09:45:00,284.61
2019-01-18 10:00:00,281.98
2019-01-18 10:15:00,286.25
2019-01-18 10:30:00,280.19
2019-01-18 10:45:00,278.57
2019-01-18 11:00:00,285.88
2019-01-18 11:15:00,286.93
2019-01-18 11:30:00,285.18
2019-01-18 11:45:00,280.37
2019-01-18 12:00:00,286.97
2019-01-18 12:15:00,285.8
2019-01-18 12:30:00,280.33
2019-01-18 12:45:00,279.63
2019-01-18 13:00:00,282.26
2019-01-18 13:15:00,282.26
2019-01-18 13:30:00,279.38
2019-01-18 13:45:00,280.9
2019-01-18 14:00:00,284.5
2019-01-18 14:15:00,281.35
2019-01-18 14:30:00,275.3
